obsolete	replacement
MONDO:0003183	MONDO:0006471
MONDO:0003188	MONDO:0009696
MONDO:0003201	MONDO:0005028
MONDO:0003203	MONDO:0017582
MONDO:0003207	MONDO:0024240
MONDO:0003213	MONDO:0006080
MONDO:0003217	MONDO:0006481
MONDO:0003221	MONDO:0006280
MONDO:0003224	MONDO:0016222
MONDO:0003226	MONDO:0016035
MONDO:0003228	MONDO:0006311
MONDO:0003229	MONDO:0019297
MONDO:0003230	MONDO:0021039
MONDO:0003239	MONDO:0007542
MONDO:0003242	MONDO:0006210
MONDO:0003247	MONDO:0006369
MONDO:0003259	MONDO:0017775
MONDO:0003267	MONDO:0016699
MONDO:0003269	MONDO:0016693
MONDO:0003270	MONDO:0016733
MONDO:0003309	MONDO:0006294
MONDO:0003323	MONDO:0006144
MONDO:0003324	MONDO:0006432
MONDO:0003338	MONDO:0019384
MONDO:0003339	MONDO:0019799
MONDO:0003344	MONDO:0016748
MONDO:0003375	MONDO:0016262
MONDO:0003380	MONDO:0006191
MONDO:0003385	MONDO:0006135
MONDO:0003407	MONDO:0006344
MONDO:0003415	MONDO:0019537
MONDO:0003416	MONDO:0016243
MONDO:0003418	MONDO:0006108
MONDO:0003436	MONDO:0008433
MONDO:0003440	MONDO:0006111
MONDO:0003449	MONDO:0006439
MONDO:0003451	MONDO:0015070
MONDO:0003457	MONDO:0006340
MONDO:0003483	MONDO:0006230
MONDO:0003484	MONDO:0018352
MONDO:0003485	MONDO:0018513
MONDO:0003488	MONDO:0006082
MONDO:0003489	MONDO:0006303
MONDO:0003491	MONDO:0018515
MONDO:0003496	MONDO:0006198
MONDO:0003498	MONDO:0006220
MONDO:0003520	MONDO:0024245
MONDO:0003521	MONDO:0019960
MONDO:0003526	MONDO:0006275
MONDO:0003527	MONDO:0007566
MONDO:0003530	MONDO:0044789
MONDO:0003533	MONDO:0006228
MONDO:0003536	MONDO:0006208
MONDO:0003540	MONDO:0004963
MONDO:0003547	MONDO:0006247
MONDO:0003552	MONDO:0006217
MONDO:0003559	MONDO:0006134
MONDO:0003560	MONDO:0005614
MONDO:0003566	MONDO:0016718
MONDO:0003576	MONDO:0005575
MONDO:0003577	MONDO:0006176
MONDO:0003580	MONDO:0006446
MONDO:0003583	MONDO:0006097
MONDO:0003597	MONDO:0013280
MONDO:0003605	MONDO:0006076
MONDO:0003613	MONDO:0006183
MONDO:0003623	MONDO:0006346
MONDO:0003625	MONDO:0005211
MONDO:0003629	MONDO:0006196
MONDO:0003642	MONDO:0018166
MONDO:0003657	MONDO:0019483
MONDO:0003662	MONDO:0006335
MONDO:0003667	MONDO:0020513
MONDO:0003696	MONDO:0016746
MONDO:0003703	MONDO:0003704
MONDO:0003711	MONDO:0017827
MONDO:0003779	MONDO:0016683
MONDO:0003793	MONDO:0006485
MONDO:0003794	MONDO:0004398
MONDO:0003797	MONDO:0006480
MONDO:0003798	MONDO:0017387
MONDO:0003807	MONDO:0005032
MONDO:0003814	MONDO:0005017
MONDO:0003815	MONDO:0008283
MONDO:0003817	MONDO:0018368
MONDO:0003823	MONDO:0015698
MONDO:0003833	MONDO:0015974
MONDO:0003838	MONDO:0006069
MONDO:0003854	MONDO:0006469
MONDO:0003855	MONDO:0018369
MONDO:0003871	MONDO:0006301
MONDO:0003877	MONDO:0006132
MONDO:0003883	MONDO:0016728
MONDO:0003914	MONDO:0019254
MONDO:0003919	MONDO:0019052
MONDO:0003920	MONDO:0006229
MONDO:0003949	MONDO:0006140
MONDO:0003961	MONDO:0006138
MONDO:0003974	MONDO:0016757
MONDO:0003977	MONDO:0016688
MONDO:0003981	MONDO:0006142
MONDO:0003986	MONDO:0017814
MONDO:0004002	MONDO:0019035
MONDO:0004003	MONDO:0018525
MONDO:0004011	MONDO:0018961
MONDO:0004018	MONDO:0007256
MONDO:0004023	MONDO:0018666
MONDO:0004025	MONDO:0006426
MONDO:0004029	MONDO:0006482
MONDO:0004031	MONDO:0004032
MONDO:0004033	MONDO:0016248
MONDO:0004036	MONDO:0006459
MONDO:0004061	MONDO:0009637
MONDO:0004068	MONDO:0000001
MONDO:0004070	MONDO:0016689
MONDO:0004072	MONDO:0016687
MONDO:0004073	MONDO:0015613
MONDO:0004084	MONDO:0006200
MONDO:0004097	MONDO:0021090
MONDO:0004113	MONDO:0017600
MONDO:0004115	MONDO:0006219
MONDO:0004119	MONDO:0006197
MONDO:0004121	MONDO:0006390
MONDO:0004123	MONDO:0006265
MONDO:0004137	MONDO:0017814
MONDO:0004138	MONDO:0006297
MONDO:0004154	MONDO:0018843
MONDO:0004157	MONDO:0018523
MONDO:0004167	MONDO:0024386
MONDO:0004171	MONDO:0015528
MONDO:0004179	MONDO:0016707
MONDO:0004228	MONDO:0018555
MONDO:0004246	MONDO:0005833
MONDO:0004282	MONDO:0006189
MONDO:0004300	MONDO:0002631
MONDO:0004342	MONDO:0006479
MONDO:0004347	MONDO:0018523
MONDO:0004362	MONDO:0005917
MONDO:0004388	MONDO:0020513
MONDO:0004395	MONDO:0016702
MONDO:0004399	MONDO:0006458
MONDO:0004424	MONDO:0007672
MONDO:0004434	MONDO:0002299
MONDO:0004437	MONDO:0006409
MONDO:0004470	MONDO:0018381
MONDO:0004476	MONDO:0006452
MONDO:0004480	MONDO:0004481
MONDO:0004490	MONDO:0004491
MONDO:0004515	MONDO:0002722
MONDO:0004527	MONDO:0015528
MONDO:0004536	MONDO:0006141
MONDO:0004553	MONDO:0017853
MONDO:0004576	MONDO:0019975
MONDO:0004581	MONDO:0019562
MONDO:0004587	MONDO:0016293
MONDO:0004589	MONDO:0019118
MONDO:0004590	MONDO:0019118
MONDO:0004595	MONDO:0004598
MONDO:0004602	MONDO:0019735
MONDO:0004606	MONDO:0018824
MONDO:0004610	MONDO:0015454
MONDO:0004623	MONDO:0006234
MONDO:0004632	MONDO:0004952
MONDO:0004654	MONDO:0019168
MONDO:0004655	MONDO:0018872
MONDO:0004676	MONDO:0020074
MONDO:0004683	MONDO:0016030
MONDO:0004688	MONDO:0015194
MONDO:0004692	MONDO:0018805
MONDO:0004704	MONDO:0019053
MONDO:0004711	MONDO:0019065
MONDO:0004721	MONDO:0024477
MONDO:0004722	MONDO:0010518
MONDO:0004734	MONDO:0016028
MONDO:0004738	MONDO:0019228
MONDO:0004740	MONDO:0009388
MONDO:0004771	MONDO:0016989
MONDO:0004776	MONDO:0017210
MONDO:0004783	MONDO:0019591
MONDO:0004791	MONDO:0019245
MONDO:0004793	MONDO:0006003
MONDO:0004798	MONDO:0019618
MONDO:0004807	MONDO:0019122
MONDO:0004809	MONDO:0005689
MONDO:0004814	MONDO:0019293
MONDO:0004818	MONDO:0002546
MONDO:0004823	MONDO:0015661
MONDO:0004825	MONDO:0019956
